Merchant	City	Latitude	Longitude
Cargills Food City	Colombo	6.9271	79.8612
Singer Sri Lanka	Colombo	6.9271	79.8612
Mobitel	Colombo	6.9271	79.8612
Laugfs Supermarkets	Colombo	6.9271	79.8612
KFC Sri Lanka	Colombo	6.9271	79.8612
Dialog Axiata	Colombo	6.9271	79.8612
Abans	Colombo	6.9271	79.8612
Hameedia	Colombo	6.9271	79.8612
Daraz.lk	Colombo	6.9271	79.8612
McDonald's Sri Lanka	Colombo	6.9271	79.8612
Keells Super	Colombo	6.9271	79.8612
Softlogic Retail (Pvt) Ltd	Colombo	6.9271	79.8612
Pizza Hut Sri Lanka	Colombo	6.9271	79.8612
Perera & Sons	Colombo	6.9271	79.8612
PickMe	Colombo	6.9271	79.8612
Fashion Bug	Colombo	6.9271	79.8612
Arpico	Colombo	6.9271	79.8612